Course Name,Cut-off ATAR,Duration,Award Type,Field of Education,Provider,Campus,Level
AD Aviation,53.70,2 years,Associate Degree,Aircraft Operation,Central Queensland University,Bundaberg QLD,Undergraduate
AD Aviation,53.70,2 years,Associate Degree,Aircraft Operation,Central Queensland University,Distance Ed,Undergraduate
AD Building Design,59.85,2 years,Associate Degree,Building,Central Queensland University,Rockhampton QLD,Undergraduate
AD Building Design,59.85,2 years,Associate Degree,Building,Central Queensland University,Distance Ed,Undergraduate
AD Building Surveying,59.85,2 years,Associate Degree,Building,Central Queensland University,Distance Ed,Undergraduate
AD Engineering,59.85,2 years,Associate Degree,Engineering & Related Technologies,Central Queensland University,Distance Ed,Undergraduate
AD Geoscience,53.70,2 years,Associate Degree,Earth Sciences,Central Queensland University,Distance Ed,Undergraduate
AD Information Technology,53.70,2 years,Associate Degree,Programming,Central Queensland University,Brisbane QLD,Undergraduate
AD Information Technology,53.70,2 years,Associate Degree,Programming,Central Queensland University,Bundaberg QLD,Undergraduate
AD Information Technology,53.70,2 years,Associate Degree,Programming,Central Queensland University,Gladstone QLD,Undergraduate
AD Information Technology,53.70,2 years,Associate Degree,Programming,Central Queensland University,Mackay QLD,Undergraduate
AD Information Technology,53.70,2 years,Associate Degree,Programming,Central Queensland University,Melbourne VIC,Undergraduate
AD Information Technology,53.70,2 years,Associate Degree,Programming,Central Queensland University,Rockhampton QLD,Undergraduate
AD Information Technology,53.70,2 years,Associate Degree,Programming,Central Queensland University,Sydney NSW,Undergraduate
AD Information Technology,53.70,2 years,Associate Degree,Programming,Central Queensland University,Distance Ed,Undergraduate
AD of Mine Technology,53.70,2 years,Associate Degree,Process & Resources Engineering,Central Queensland University,Distance Ed,Undergraduate
Adv.Dip Aborig Stud. in Music,N/A,2 years,Advanced Diploma,Music,The University of Adelaide,Adelaide SA,Undergraduate
Advanced Diploma in Arts,N/A,1.5 years,Advanced Diploma,Studies in Human Society n.e.c.,University of New England,Armidale NSW,Undergraduate
Advanced Diploma in Arts,N/A,1.5 years,Advanced Diploma,Studies in Human Society n.e.c.,University of New England,Distance Education,Undergraduate
Advanced Diploma in Indigenous Legal Studies,N/A,1.5 years,Advanced Diploma,Legal Studies,The University of Western Australia,CRAWLEY WA,Undergraduate
"Advanced Diploma in Local, Family and Applied History",N/A,1.5 years,Advanced Diploma,History,University of New England,Distance Education,Undergraduate
Advanced Diploma in Special Education and Disability Studies,N/A,1.5 years,Advanced Diploma,Care for the Disabled,University of New England,Distance Education,Undergraduate
Advanced Diploma in The Sciences,N/A,1.5 years,Advanced Diploma,Natural & Physical Sciences,University of New England,Armidale NSW,Undergraduate
Advanced Diploma in The Sciences,N/A,1.5 years,Advanced Diploma,Natural & Physical Sciences,University of New England,Distance Education,Undergraduate
Advanced Diploma in Theology,N/A,2 years,Advanced Diploma,Religious Studies,MCD University of Divinity,North Adelaide SA,Undergraduate
Advanced Diploma in Theology,N/A,2 years,Advanced Diploma,Religious Studies,MCD University of Divinity,MULGRAVE VIC,Undergraduate
Advanced Diploma in Theology,N/A,2 years,Advanced Diploma,Religious Studies,MCD University of Divinity,East Melbourne VIC,Undergraduate
Advanced Diploma in Theology,N/A,2 years,Advanced Diploma,Religious Studies,MCD University of Divinity,PARKVILLE VIC,Undergraduate
Advanced Diploma in Theology,N/A,2 years,Advanced Diploma,Religious Studies,MCD University of Divinity,Box Hill VIC,Undergraduate
Advanced Diploma of Applied Science (Chief Mate/Master) (J2V),N/A,1 year,Advanced Diploma,Marine Craft Operation,University of Tasmania,Launceston TAS,Undergraduate
Advanced Diploma of Applied Science (Nautical Science) (22N),60.00,2 years,Advanced Diploma,Marine Craft Operation,University of Tasmania,Launceston TAS,Undergraduate
Advanced Diploma of Applied Science (Nautical Science) (J2U),N/A,3.5 years,Advanced Diploma,Marine Craft Operation,University of Tasmania,Launceston TAS,Undergraduate
Advanced Diploma of Business,N/A,1.5 years,Advanced Diploma,Business Management,Federation University Australia,Mt Helen VIC,Undergraduate
Advanced Diploma of Computing,N/A,1.5 years,Advanced Diploma,Information Technology n.e.c.,Federation University Australia,Mt Helen VIC,Undergraduate
Advanced Diploma of Languages,N/A,1 year,Advanced Diploma,Language & Literature,University of New South Wales,Sydney NSW,Undergraduate
Advanced Diploma of Management,N/A,1.5 years,Advanced Diploma,Business & Management,Federation University Australia,Mt Helen VIC,Undergraduate
Advanced Diploma of Marine Engineering (22M),60.00,2 years,Advanced Diploma,Maritime Engineering & Technology n.e.c.,University of Tasmania,Launceston TAS,Undergraduate
Advanced Diploma of Marine Engineering (Chief Engineer) (J2X),N/A,1 year,Advanced Diploma,Maritime Engineering,University of Tasmania,Launceston TAS,Undergraduate
Advanced Diploma of Marine Engineering (J2W),N/A,3 years,Advanced Diploma,Maritime Engineering,University of Tasmania,Launceston TAS,Undergraduate
Advanced Diploma of Maritime and Logistics Management (J2N),60.00,1.5 years,Advanced Diploma,Business & Management n.e.c.,University of Tasmania,Launceston TAS,Undergraduate
Advanced Diploma of Maritime and Logistics Management (J2N),60.00,1.5 years,Advanced Diploma,Business & Management n.e.c.,University of Tasmania,Distance Education,Undergraduate
Advanced Diploma of Maritime Operations (22P),60.00,2 years,Advanced Diploma,Maritime Engineering & Technology n.e.c.,University of Tasmania,Launceston TAS,Undergraduate
Advanced Diploma of Music,N/A,1 year,Advanced Diploma,Music,University of New South Wales,Sydney NSW,Undergraduate
Ass Deg in Fashion Des & Tech,N/A,2 years,Associate Degree,Fashion Design,RMIT University,Brunswick Campus VIC,Undergraduate
Ass Deg in Graphic Design,N/A,2 years,Associate Degree,Graphic Arts & Design Studies,RMIT University,Brunswick Campus VIC,Undergraduate
Ass Deg in Health Sciences,See details,2 years,Associate Degree,Health n.e.c.,RMIT University,City Campus VIC,Undergraduate
Ass Deg in Screenwriting,N/A,2 years,Associate Degree,Communication & Media Studies n.e.c.,RMIT University,City Campus VIC,Undergraduate
Ass Deg Interior Dec & Design,N/A,2 years,Associate Degree,Interior & Environmental Design,RMIT University,City Campus VIC,Undergraduate
Ass Deg Legal Prac (Paralegal),See details,2 years,Associate Degree,Legal Practice,RMIT University,City Campus VIC,Undergraduate
Ass Deg Prof Writing & Editing,N/A,2 years,Associate Degree,Written Communication,RMIT University,City Campus VIC,Undergraduate
Ass Deg Screen & Media Product,N/A,2 years,Associate Degree,Communication & Media Studies n.e.c.,RMIT University,City Campus VIC,Undergraduate
Ass Deg Visual Merchandising,N/A,2 years,Associate Degree,Sales & Marketing n.e.c.,RMIT University,City Campus VIC,Undergraduate
Ass Degree in Applied Science,See details,2 years,Associate Degree,Natural & Physical Sciences n.e.c.,RMIT University,City Campus VIC,Undergraduate
Ass Degree in Eng Tech,N/A,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,RMIT University,City Campus VIC,Undergraduate
Ass Degree in FashTextMerch,N/A,2 years,Associate Degree,Graphic & Design Studies n.e.c.,RMIT University,Brunswick Campus VIC,Undergraduate
AssDeg EngTech (Civil),See details,2 years,Associate Degree,Civil Engineering,RMIT University,City Campus VIC,Undergraduate
AssDeg EngTech (Network),See details,2 years,Associate Degree,Electrical & Electrical Engineering & Tech n.e.c.,RMIT University,City Campus VIC,Undergraduate
AssDeg in Design (Furniture),N/A,2 years,Associate Degree,Graphic & Design Studies n.e.c.,RMIT University,City Campus VIC,Undergraduate
AssDeg InfoTech,See details,2 years,Associate Degree,Other Information Technology,RMIT University,City Campus VIC,Undergraduate
AssDegEngTech(ElectricElectro),See details,2 years,Associate Degree,Electronic Engineering,RMIT University,City Campus VIC,Undergraduate
Assoc Degree Mine Op Mgmt,53.70,2 years,Associate Degree,Process & Resources Engineering,Central Queensland University,Distance Ed,Undergraduate
AssocDegree Business-UQ Colleg,51.05,2 years,Associate Degree,Business & Management n.e.c.,The University of Queensland,IPSWICH QLD,Undergraduate
Associate Degree - Faculty of Humanities & Social Sciences,N/A,1.5 years,Associate Degree,Society & Culture n.e.c.,Bond University,Bond University QLD,Undergraduate
Associate Degree (Business),N/A,2 years,Associate Degree,Business Management,The Australian National University,Acton ACT,Undergraduate
Associate Degree (Education Support) (42A),N/A,2 years,Associate Degree,Education n.e.c.,University of Tasmania,Launceston TAS,Undergraduate
Associate Degree (Education Support) (42A),N/A,2 years,Associate Degree,Education n.e.c.,University of Tasmania,Burnie TAS,Undergraduate
Associate Degree (Education Support) (42A),N/A,2 years,Associate Degree,Education n.e.c.,University of Tasmania,Distance Education,Undergraduate
Associate Degree (Science and Technology),N/A,2 years,Associate Degree,Natural & Physical Sciences n.e.c.,The Australian National University,Acton ACT,Undergraduate
